zipcode,Population,Population Density,Housing Units,Median Home Value,Land Area,Water Area,Occupied Housing Units,Median Household Income,Median Age,Male Median Age,Female Median Age,Male Population,Female Population,White Population,Black or African American Population,American Indian or Alaskan Native Population,Asian Population,Native Hawaiian and Other Pacific Islander Population,Other Race Population,Two or More Races Population,Husband and Wife Family Households,Single Guardian Households,Singles Households,Singles with Roommate Households,Households without Kids,Households with Kids,In Occupied Housing Units,Correctional Facilities,Juvenile Facilities,Nursing Facilities,Other Institutional,College Student Housing,Military Quarters,Other Noninstitutional,Owned House with Mortgage,Owned House Entirely,House Occupied by Renter,Households Vacant,Rented Studio Apartment,Rented 1 Bedroom,Rented 2 Bedroom,Rented 3+ Bedroom,Worked Full-time,Worked Part-time,No Earnings,"Commute in Car, Truck, or Van",Commute in Public Transportation,Commute in Taxicab,Commute in Motorcycle,"Commute in Bicycle, Walking, Other",Worked at Home,Less than High School Diploma,High School Graduate,Associate's degree,Master's degree,Professional school degree,Doctorate degree,Enrolled in Public School,Enrolled in Private School,Not Enrolled in School
98166,"20,301","3,580","8,953","$386,900",5.67,1.56,"8,282","$63,320",43,42,44,"10,101","10,200","15,339",635,257,"1,180",171,"1,744",975,"4,141","1,253","2,287",601,"5,923","2,359","20,247",0,25,8,0,0,0,21,"3,826","1,624","2,832",671,148,888,"1,432",644,"6,731","4,459","4,913","8,130",677,0,26,362,441,"1,301","6,498","1,151","1,484",332,271,"2,461",727,499
98008,"24,411","4,437","9,552","$457,200",5.50,2.85,"9,173","$92,986",41,40,43,"12,131","12,280","17,093",590,116,"4,749",58,845,960,"5,375","1,104","2,063",631,"6,209","2,964","23,945",0,0,89,0,0,0,377,"4,854","1,774","2,545",379,29,642,839,889,"8,488","4,985","6,307","9,658","1,590",16,37,343,624,"1,077","5,555","1,280","2,361",427,412,"3,352",767,327
98198,"34,584","4,441","14,328","$258,500",7.79,0.90,"13,106","$56,364",38,36,39,"17,232","17,352","20,412","3,742",430,"3,796",927,"3,347","1,930","5,589","2,532","3,944","1,041","8,996","4,110","33,121",831,0,433,0,0,0,199,"5,705","1,799","5,602","1,222",352,"1,243","2,659","1,244","11,245","7,005","10,280","13,694","1,325",0,47,346,333,"4,043","12,572","2,243","1,177",255,137,"4,583",606,692
98003,"44,151","3,800","18,436","$221,600",11.62,0.11,"17,250","$45,894",35,33,36,"21,343","22,808","24,454","4,782",453,"5,587","1,401","4,599","2,875","6,863","3,610","5,395","1,382","11,490","5,760","43,511",3,0,421,0,0,0,216,"6,313","2,167","8,770","1,186",489,"2,530","3,855","2,102","13,989","8,908","12,669","17,082","1,386",0,77,784,944,"3,570","15,997","3,049","1,212",296,156,"6,956",601,"1,446"
98014,"6,765",149,"2,631","$410,900",45.31,1.79,"2,456","$95,394",41,41,41,"3,447","3,318","6,093",50,58,169,4,213,178,"1,614",275,405,162,"1,561",895,"6,763",0,0,0,0,0,0,2,"1,706",382,368,175,26,53,183,161,"2,587","1,608","1,348","3,154",111,0,26,76,243,391,"1,980",381,481,99,116,"1,018",450,146
98136,"14,770","6,425","7,533","$445,700",2.30,0.84,"7,069","$84,344",43,43,43,"7,003","7,767","12,697",358,94,676,38,202,705,"2,938",683,"2,594",854,"5,446","1,623","14,671",0,0,86,0,0,0,13,"3,551","1,070","2,448",464,66,870,980,500,"6,239","3,354","2,980","6,433","1,078",18,62,361,810,277,"3,791",993,"1,651",546,229,918,799,134
98023,"47,510","4,604","18,026","$265,100",10.32,1.39,"16,912","$67,906",36,34,37,"23,538","23,972","29,149","4,068",429,"6,729","1,034","2,905","3,196","9,131","3,119","3,542","1,120","10,497","6,415","47,319",0,0,0,21,0,0,170,"9,212","1,815","5,885","1,114",84,"1,292","2,475","2,217","16,493","10,327","11,495","20,407","1,680",11,63,526,"1,007","2,708","16,470","3,364","2,273",356,263,"7,937",942,"1,526"
98033,"34,338","3,696","16,615","$528,300",9.29,1.71,"15,249","$103,250",39,38,40,"16,777","17,561","28,152",458,129,"3,589",82,529,"1,399","7,263","1,527","5,059","1,400","11,206","4,043","33,869",17,0,10,4,396,0,42,"7,708","2,054","5,487","1,366",134,"1,368","1,955","1,438","12,953","6,312","6,955","13,815","1,128",0,51,655,"1,506",757,"6,522","1,396","4,038",884,551,"4,138","1,409",443
98038,"31,171",469,"11,387","$317,700",66.49,0.39,"10,854","$95,043",37,36,37,"15,574","15,597","27,227",569,180,"1,193",99,478,"1,425","7,270","1,346","1,688",550,"5,984","4,870","31,171",0,0,0,0,0,0,0,"7,974","1,308","1,572",533,56,275,402,"1,160","11,909","5,983","7,065","14,453",361,0,48,305,850,833,"11,564","2,198","1,763",223,106,"6,745",809,837
98103,"45,911","9,905","24,128","$478,200",4.64,0.66,"22,724","$75,763",34,34,34,"22,667","23,244","38,054","1,123",264,"3,470",71,685,"2,244","7,169","1,797","9,028","4,730","18,811","3,913","45,401",5,0,196,0,0,0,309,"8,672","2,194","11,858","1,404",869,"5,524","3,641","1,920","21,348","13,038","6,656","18,632","6,274",9,199,"3,381","2,367","1,070","7,404","2,086","6,657","1,777","1,927","2,767","1,772",405
98055,"21,904","4,585","9,498","$266,100",4.78,0.10,"8,786","$66,461",35,34,36,"10,671","11,233","10,741","2,985",141,"5,494",236,958,"1,349","3,713","1,584","2,672",817,"6,087","2,699","21,681",5,0,108,0,0,0,110,"3,868",966,"3,952",712,109,"1,063","1,736","1,029","8,656","4,230","4,711","10,109",621,0,14,163,608,"1,738","7,276","1,467","1,046",130,88,"2,426",422,414
98075,"20,715","2,185","7,005","$614,100",9.48,1.63,"6,733","$142,926",38,38,38,"10,320","10,395","15,298",180,52,"4,293",35,156,701,"5,216",590,712,215,"3,043","3,690","20,658",0,0,0,0,0,0,57,"5,041",783,909,272,15,150,256,351,"7,579","3,485","3,961","8,145",525,0,11,158,"1,005",176,"2,759",836,"2,568",468,492,"4,766","1,335",267
98058,"41,938","2,215","16,120","$302,200",18.93,0.83,"15,395","$77,780",38,37,38,"20,786","21,152","27,498","3,300",233,"6,727",256,"1,399","2,525","8,685","2,490","3,215","1,005","9,750","5,645","41,809",0,0,22,5,0,0,102,"8,929","2,270","4,196",725,58,881,"1,488","1,987","15,510","9,689","9,208","19,448","1,126",0,65,286,"1,067","2,447","13,469","3,249","2,153",274,226,"7,014",847,"1,248"
98122,"31,454","13,594","17,123","$407,600",2.31,1.22,"15,717","$53,570",32,33,31,"16,432","15,022","19,929","5,314",292,"3,027",115,885,"1,892","2,963","1,494","7,771","3,489","13,612","2,105","28,888",62,110,236,0,"1,415",0,743,"4,501",867,"10,349","1,406","1,840","4,488","2,515","1,475","13,436","9,515","6,234","8,173","4,991",42,85,"5,798","1,112","1,504","6,341","1,766","3,573","1,308",931,"2,149",572,354
98053,"18,784",662,"7,652","$544,500",28.37,0.18,"7,108","$116,518",41,41,42,"9,229","9,555","14,981",141,42,"2,747",12,196,665,"4,902",530,"1,346",330,"4,506","2,602","18,776",0,0,7,0,0,0,1,"4,917","1,191","1,000",544,0,330,500,462,"7,243","4,256","5,557","8,304",431,0,48,279,"1,058",282,"4,280",977,"2,964",616,509,"3,517","1,106",185
98118,"42,731","6,841","16,162","$350,700",6.25,2.64,"15,127","$52,276",38,37,39,"20,793","21,938","13,195","11,067",255,"13,939",361,"1,473","2,441","6,294","3,412","3,944","1,477","9,908","5,219","41,980",0,0,263,0,0,0,488,"7,064","1,797","6,266","1,035",194,"2,119","2,389","2,070","13,482","9,488","11,216","14,178","3,770",54,37,"1,228",708,"6,139","11,395","1,798","2,601",995,477,"6,531",875,"1,009"
